time[ms],[Ca2+]_i[mM]
9.059833810288897382e+01,9.121123552322387695e-01
9.092596719224444257e+01,9.116625189781188965e-01
9.125359628159991132e+01,9.112126827239990234e-01
9.157973763902178632e+01,9.107171893119812012e-01
9.190571877915850507e+01,9.102168679237365723e-01
9.223169991929522382e+01,9.097164869308471680e-01
9.255768868882647382e+01,9.092161655426025391e-01
9.288286111314288007e+01,9.086934924125671387e-01
9.320716378648272382e+01,9.081466794013977051e-01
9.353146645982256757e+01,9.075998663902282715e-01
9.385577676255694257e+01,9.070530533790588379e-01
9.417994973618975507e+01,9.065029621124267578e-01
9.450256631333819257e+01,9.059134125709533691e-01
9.482519051988116132e+01,9.053238034248352051e-01
9.514780709702959882e+01,9.047342538833618164e-01
9.547043130357256757e+01,9.041447043418884277e-01
9.579187295396319257e+01,9.035274386405944824e-01
9.611282632310381757e+01,9.028985500335693359e-01
9.643377206284991132e+01,9.022696614265441895e-01
9.675471780259600507e+01,9.016407132148742676e-01
9.707506082017413007e+01,9.009984135627746582e-01
9.739437386949053632e+01,9.003333449363708496e-01
9.771367928941241132e+01,8.996682167053222656e-01
9.803299233872881757e+01,8.990031480789184570e-01
9.835216042954913007e+01,8.983350992202758789e-01
9.866987130601397382e+01,8.976367115974426270e-01
9.898758218247881757e+01,8.969383239746093750e-01
9.930529305894366132e+01,8.962399363517761230e-01
9.962300393540850507e+01,8.955416083335876465e-01
9.993937203843584882e+01,8.948165774345397949e-01
1.002555417772053801e+02,8.940876722335815430e-01
1.005717115159749113e+02,8.933587670326232910e-01
1.008878812547444426e+02,8.926299214363098145e-01
1.012029676194905363e+02,8.918804526329040527e-01
1.015176572557210051e+02,8.911235332489013672e-01
1.018323468919514738e+02,8.903666138648986816e-01
1.021470365281819426e+02,8.896096944808959961e-01
1.024607724900960051e+02,8.888354301452636719e-01
1.027740506883381926e+02,8.880529403686523438e-01
1.030873365159749113e+02,8.872705101966857910e-01
1.034006223436116301e+02,8.864880800247192383e-01
1.037129468675374113e+02,8.856886625289916992e-01
1.040249051805256926e+02,8.848829865455627441e-01
1.043368711229085051e+02,8.840773105621337891e-01
1.046488294358967863e+02,8.832715749740600586e-01
1.049596967454670988e+02,8.824471831321716309e-01
1.052704190965413176e+02,8.816205263137817383e-01
1.055811490770100676e+02,8.807938098907470703e-01
1.058916730638264738e+02,8.799638152122497559e-01
1.062012662645100676e+02,8.791183829307556152e-01
1.065108670945881926e+02,8.782729506492614746e-01
1.068204602952717863e+02,8.774275183677673340e-01
1.071294355149983488e+02,8.765721321105957031e-01
1.074380063768147551e+02,8.757101893424987793e-01
1.077465772386311613e+02,8.748482465744018555e-01
1.080535688157795988e+02,8.739631175994873047e-01
1.083535794969319426e+02,8.729755282402038574e-01
1.086535825486897551e+02,8.719878792762756348e-01
