time[ms],voltage[mV]
7.228684996199507395e+01,3.056562995910644531e+01
7.253354643416304270e+01,3.039163970947265625e+01
7.276309202742476145e+01,3.019791984558105469e+01
7.299264525008101145e+01,3.000419998168945312e+01
7.322219084334273020e+01,2.981048011779785156e+01
7.345173643660444895e+01,2.961676025390625000e+01
7.368128965926069895e+01,2.942304039001464844e+01
7.391083525252241770e+01,2.922932052612304688e+01
7.414038084578413645e+01,2.903560066223144531e+01
7.436993406844038645e+01,2.884188079833984375e+01
7.459947966170210520e+01,2.864816093444824219e+01
7.482902525496382395e+01,2.845444107055664062e+01
7.505857084822554270e+01,2.826072120666503906e+01
7.528812407088179270e+01,2.806700134277343750e+01
7.551766966414351145e+01,2.787328147888183594e+01
7.573471830916304270e+01,2.766742706298828125e+01
7.595077513289351145e+01,2.746061515808105469e+01
7.616683195662398020e+01,2.725380325317382812e+01
7.638288878035444895e+01,2.704699134826660156e+01
7.659894560408491770e+01,2.684017944335937500e+01
7.681500242781538645e+01,2.663336753845214844e+01
7.703105925154585520e+01,2.642655563354492188e+01
7.724711607527632395e+01,2.621974372863769531e+01
7.746317289900679270e+01,2.601293182373046875e+01
7.767922972273726145e+01,2.580612182617187500e+01
7.789529417586226145e+01,2.559930992126464844e+01
7.811135099959273020e+01,2.539249801635742188e+01
7.832740782332319895e+01,2.518568611145019531e+01
7.854346464705366770e+01,2.497887420654296875e+01
7.875952147078413645e+01,2.477206230163574219e+01
7.897557829451460520e+01,2.456525039672851562e+01
7.918455504012007395e+01,2.435222816467285156e+01
7.939203642439741770e+01,2.413789367675781250e+01
7.959951780867476145e+01,2.392355728149414062e+01
7.980699919295210520e+01,2.370922279357910156e+01
8.001448057722944895e+01,2.349488639831542969e+01
8.022196196150679270e+01,2.328055191040039062e+01
8.042944334578413645e+01,2.306621551513671875e+01
8.063692473006148020e+01,2.285188102722167969e+01
8.084440611433882395e+01,2.263754463195800781e+01
8.105188749861616770e+01,2.242321014404296875e+01
