time[ms],[Ca2+]_i[μM]
9.596504973006148020e+01,6.414743065834045410e-01
9.622825621199507395e+01,6.413466334342956543e-01
9.649146269392866770e+01,6.412190198898315430e-01
9.675466154646773020e+01,6.410913467407226562e-01
9.701786802840132395e+01,6.409637331962585449e-01
9.728107451033491770e+01,6.408360600471496582e-01
9.754427336287398020e+01,6.407084465026855469e-01
9.780747984480757395e+01,6.405807733535766602e-01
9.807061766219038645e+01,6.404473781585693359e-01
9.833369444441694895e+01,6.403084397315979004e-01
9.859677122664351145e+01,6.401694416999816895e-01
9.885984800887007395e+01,6.400305032730102539e-01
9.912292479109663645e+01,6.398915052413940430e-01
9.938599394392866770e+01,6.397525668144226074e-01
9.964907072615523020e+01,6.396135687828063965e-01
9.991214750838179270e+01,6.394746303558349609e-01
1.001750640733231990e+02,6.393227577209472656e-01
1.004379730088700740e+02,6.391705870628356934e-01
1.007008895738114802e+02,6.390184760093688965e-01
1.009637985093583552e+02,6.388663053512573242e-01
1.012267074449052302e+02,6.387141942977905273e-01
1.014896240098466365e+02,6.385620236396789551e-01
1.017525329453935115e+02,6.384099125862121582e-01
1.020153503282060115e+02,6.382507681846618652e-01
1.022780608994950740e+02,6.380836367607116699e-01
1.025407638413896052e+02,6.379164457321166992e-01
1.028034744126786677e+02,6.377492547035217285e-01
1.030661773545731990e+02,6.375821232795715332e-01
1.033288879258622615e+02,6.374149322509765625e-01
1.035915908677567927e+02,6.372478008270263672e-01
1.038543014390458552e+02,6.370806097984313965e-01
1.041167526109208552e+02,6.368966102600097656e-01
1.043792114121903865e+02,6.367124915122985840e-01
1.046416625840653865e+02,6.365283727645874023e-01
1.049041137559403865e+02,6.363442540168762207e-01
1.051665649278153865e+02,6.361601352691650391e-01
1.054290160996903865e+02,6.359760165214538574e-01
1.056914749009599177e+02,6.357918977737426758e-01
1.059537353379716365e+02,6.355962157249450684e-01
1.062158660752763240e+02,6.353927850723266602e-01
1.064779968125810115e+02,6.351893544197082520e-01
1.067401351792802302e+02,6.349859237670898438e-01
1.070022659165849177e+02,6.347824931144714355e-01
1.072643966538896052e+02,6.345790624618530273e-01
1.075265273911942927e+02,6.343756318092346191e-01
1.077885360581864802e+02,6.341652870178222656e-01
1.080502624375810115e+02,6.339398622512817383e-01
1.083119964463700740e+02,6.337144374847412109e-01
1.085737228257646052e+02,6.334890127182006836e-01
1.088354492051591365e+02,6.332635879516601562e-01
1.090971832139481990e+02,6.330382227897644043e-01
1.093589095933427302e+02,6.328127980232238770e-01
1.096204910142411677e+02,6.325803399085998535e-01
1.098813552720536677e+02,6.323138475418090820e-01
1.101422119004716365e+02,6.320473551750183105e-01
1.104030761582841365e+02,6.317808628082275391e-01
